商品标题,商品价格,商品链接,评论量
拍拍【二手9成新】父母课堂 /不详 不详,￥9.45,https://item.jd.com/10063398673428.html,3
拍拍【二手9成新】北京海淀古镇风情 郭云鹏钢笔画集,￥38.00,https://item.jd.com/10068308074104.html,2
拍拍【二手9成新】两代风流-蒋经国蒋纬国戴安国金定国和他们的父辈 /盛李 安徽文艺出版社,￥28.88,https://item.jd.com/10055012332060.html,1
拍拍【二手9成新】门票 ：齐长大 任贤齐2004北京演唱会 （1张） 首都,￥64.00,https://item.jd.com/10055665699314.html,0
拍拍【二手9成新】门票 ：齐长大 任贤齐2004北京演唱会 （1张） /不,￥65.00,https://item.jd.com/10071058068441.html,0
拍拍【二手9成新】做温暖的陪伴者 幼儿园教师专业成长的思与行 /徐则民 上海教育,￥223.00,https://item.jd.com/10068561582413.html,0
拍拍【二手9成新】北京海淀古镇风情郭云鹏钢笔画集【内页干净】 /北,￥30.00,https://item.jd.com/10062875852962.html,0
拍拍【二手9成新】快乐家族 快乐 你懂的 2010 /李松 广东音像出版社,￥230.40,https://item.jd.com/10070499014461.html,0
拍拍【二手85成新】走下圣坛的周恩来 /权延赤著 中共中央党校,￥29.00,https://item.jd.com/10066735893151.html,5
商品标题,商品价格,商品链接,评论量
拍拍【二手9成新】父母课堂 /不详 不详,￥9.45,https://item.jd.com/10063398673428.html?bbtf=1,3
拍拍【二手85成新】走下圣坛的周恩来 /权延赤著 中共中央党校,￥29.00,https://item.jd.com/10066735893151.html?bbtf=1,7
拍拍【二手9成新】新时代巡视巡查干部培训系列教材 全6册 中央巡视工作领导小组办公室著 中国方正出版社,￥980.00,https://item.jd.com/10070306195701.html?bbtf=1,3
拍拍【二手9成新】一带一路沿线66国钱币邮票集锦 /票币齐全 不详,￥32.00,https://item.jd.com/10071332808589.html?bbtf=1,0
拍拍【二手9成新】快乐家族 快乐 你懂的 2010 /李松 广东音像出版社,￥230.40,https://item.jd.com/10070499014461.html?bbtf=1,0
【二手9成新】父母课堂系列全套8册 不吼不叫 正面管教 怎样给孩子定规矩 如何说孩子才会听 聪明人是,￥30.00,https://item.jd.com/10059719411478.html,2
【二手9成新】企业融资实战全案：从创业到上市 中国纺织 /朱桦 中国纺织,￥73.00,https://item.jd.com/10071196446986.html,2
【二手9成新】The Time Keeper 时间守护者,￥206.00,https://item.jd.com/10069293968822.html,0
【二手9成新】山坳上的中国 问题 困境 痛苦的选择 /何博传 贵州人民,￥23.00,https://item.jd.com/10073209435744.html,0
【二手9成新】姓名新编校释 /许银 吉林人民,￥23.00,https://item.jd.com/10072749326631.html,0
【二手9成新】公司控制权与股权布局 /不祥 中国纺织有限公司,￥72.00,https://item.jd.com/10072928445377.html,1
9成新二手书 红楼梦的两个世界 (美) 著 9787806818947 上海社会,￥24.00,https://item.jd.com/10070987230860.html,2
【二手9成新】中国玉器全集（上中下） /杨伯达 河北美术出版社,￥158.60,https://item.jd.com/10074545414741.html,1
9成新二手书 图解六壬大全 全册123 毕法赋_明郭载騋原著 现货 图解六壬大全 全册123 毕法赋_明郭载騋原著 现,￥115.00,https://item.jd.com/10071863130018.html,5
【二手9成新】中国国家地理 2019年1-12册【全年】 /《中国国家地,￥129.00,https://item.jd.com/10071162272840.html,0
商品标题,商品价格,商品链接,评论量
拍拍【二手9成新】新时代巡视巡查干部培训系列教材 全6册 中央巡视工作领导小组办公室著 中国方正出版社,￥980.00,https://item.jd.com/10070306195701.html?bbtf=1,3
拍拍【二手9成新】父母课堂 /不详 不详,￥9.45,https://item.jd.com/10063398673428.html?bbtf=1,3
拍拍【二手9成新】一带一路沿线66国钱币邮票集锦 /票币齐全 不详,￥32.00,https://item.jd.com/10071332808589.html?bbtf=1,0
拍拍【二手85成新】走下圣坛的周恩来 /权延赤著 中共中央党校,￥29.00,https://item.jd.com/10066735893151.html?bbtf=1,7
拍拍【二手9成新】快乐家族 快乐 你懂的 2010 /李松 广东音像出版社,￥230.40,https://item.jd.com/10070499014461.html?bbtf=1,0
【二手9成新】父母课堂系列全套8册 不吼不叫 正面管教 怎样给孩子定规矩 如何说孩子才会听 聪明人是,￥30.00,https://item.jd.com/10059719411478.html,2
【二手9成新】企业融资实战全案：从创业到上市 中国纺织 /朱桦 中国纺织,￥73.00,https://item.jd.com/10071196446986.html,2
【二手9成新】The Time Keeper 时间守护者,￥206.00,https://item.jd.com/10069293968822.html,0
【二手9成新】山坳上的中国 问题 困境 痛苦的选择 /何博传 贵州人民,￥23.00,https://item.jd.com/10073209435744.html,0
【二手9成新】姓名新编校释 /许银 吉林人民,￥23.00,https://item.jd.com/10072749326631.html,0
【二手9成新】公司控制权与股权布局 /不祥 中国纺织有限公司,￥72.00,https://item.jd.com/10072928445377.html,1
9成新二手书 红楼梦的两个世界 (美) 著 9787806818947 上海社会,￥24.00,https://item.jd.com/10070987230860.html,2
【二手9成新】中国玉器全集（上中下） /杨伯达 河北美术出版社,￥158.60,https://item.jd.com/10074545414741.html,1
9成新二手书 图解六壬大全 全册123 毕法赋_明郭载騋原著 现货 图解六壬大全 全册123 毕法赋_明郭载騋原著 现,￥115.00,https://item.jd.com/10071863130018.html,5
【二手9成新】中国国家地理 2019年1-12册【全年】 /《中国国家地,￥129.00,https://item.jd.com/10071162272840.html,0
商品标题,商品价格,商品链接,评论量
数学要素 全彩图解+微课+Python编程 鸢尾花书从加减乘除到机器学习Github/知乎数学可视化大神生姜博士作品硬核品鉴数学之美,￥142.80,https://item.jd.com/13716507.html?bbtf=1,500+
Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）,￥133.90,https://item.jd.com/12842874.html?bbtf=1,50万+
Python编程 从入门到实践 第3版（图灵出品）,￥69.80,https://item.jd.com/11993134.html?bbtf=1,50万+
零基础学Python（Python3.10全新升级）（基础入门 同步视频 技术答疑）,￥38.30,https://item.jd.com/12353915.html?bbtf=1,20万+
【新华书店 正版包邮】Python编程 从入门到实践(第2版),￥45.90,https://item.jd.com/21738292624.html?bbtf=1,1万+
零基础Python从入门到实践 编程从入门到实践编程语言与程序设计书籍基础教程学习手册从入门到实战系列,￥34.90,https://item.jd.com/13730984.html?bbtf=1,5000+
【赠视频课程】Python从入门到精通实战 python教程自学全套 编程入门书籍零基础自学电脑计算机程序设计基础编程从入门到实践语言程序爬虫 广东人民出版社自营 教材,￥36.80,https://item.jd.com/10026729242683.html?bbtf=1,2000+
流畅的Python（第2版）（图灵出品）,￥99.90,https://item.jd.com/13888566.html?bbtf=1,1000+
Python编程从入门到精通 第2二版计算机电脑编程入门自学零基础教程全套书籍 pathon编程从入门到实践基础教程语言程序设计,￥37.92,https://item.jd.com/34608882177.html?bbtf=1,1万+
Python从入门到精通（第2版）,￥63.00,https://item.jd.com/13284890.html?bbtf=1,10万+
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,￥30.80,https://item.jd.com/12128326.html?bbtf=1,2万+
Python基础教程（第3版）(图灵出品),￥78.20,https://item.jd.com/12279949.html?bbtf=1,50万+
零基础Python编程从入门到精通,￥22.10,https://item.jd.com/13561470.html?bbtf=1,2000+
深度学习入门 基于Python的理论与实现（AI入门鱼书！了解ChatGPT底层逻辑！图灵出品）,￥34.90,https://item.jd.com/13288842.html?bbtf=1,20万+
Python青少年趣味编程8-15岁 儿童中小学少儿编程入门到实践 零基础学python儿童电脑编程教材（彩印+微课视频讲解）编程真好玩编程思维启蒙教材书籍,￥34.90,https://item.jd.com/12821118.html?bbtf=1,2万+
Python3网络爬虫开发实战 第2版（图灵出品）,￥69.90,https://item.jd.com/13527222.html?bbtf=1,50万+
Python精粹,￥54.00,https://item.jd.com/13708893.html?bbtf=1,29
Excel+Python 飞速搞定数据分析与处理（图灵出品）,￥44.90,https://item.jd.com/13123121.html?bbtf=1,50万+
Python从入门到精通实战 python教程自学全套 编程入门书籍零基础自学电脑计算机程序设计基础编程从入门到实践语言程序爬虫,￥36.80,https://item.jd.com/54690397547.html?bbtf=1,2000+
Python学习手册（套装上下册）（原书第5版）,￥164.20,https://item.jd.com/12452929.html?bbtf=1,5万+
python四件套 Python编程从入门到实践第2版+Python编程实战+Python极客项目编程+编程快速上手让繁琐工作自动化第2版 零基础入门学习,￥165.70,https://item.jd.com/10061783130659.html?bbtf=1,500+
DK编程真好玩：9岁开始学Python （爱心树童书）,￥59.00,https://item.jd.com/12709084.html?bbtf=1,2万+
【职场“摸鱼”神器】Python自动化办公：3分钟完成一天工作(博文视点出品),￥44.50,https://item.jd.com/12872515.html?bbtf=1,1万+
利用Python进行数据分析（原书第2版）,￥98.20,https://item.jd.com/12398725.html?bbtf=1,5万+
【赠配套视频】零基础C++从入门到精通 中文版C++语言编程从入门零基础自学C语言程序设计编程游戏书 计算机程序开发数据结构基础教程书籍 广东人民出版社自营 【3册】 java++零基础,￥95.80,https://item.jd.com/10071895159755.html?bbtf=1,5000+
Python黑帽子：黑客与渗透测试编程之道（第2版）(博文视点出品),￥50.00,https://item.jd.com/13120229.html?bbtf=1,2万+
Python编程快速上手 让繁琐工作自动化 第2版(异步图书出品）,￥66.30,https://item.jd.com/13131482.html?bbtf=1,50万+
Excel x Python智能高效办公,￥39.90,https://item.jd.com/13222918.html?bbtf=1,1000+
Python机器学习基础教程(图灵出品),￥58.80,https://item.jd.com/12301195.html?bbtf=1,10万+
深入浅出Python机器学习,￥54.50,https://item.jd.com/12401357.html?bbtf=1,2万+
